ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
1,0.0225,783,4560,24.242640614509583
2,0.0265,806,4559,22.242640614509583
3,0.048,4102,4559,27.656854152679443
4,0.139,2792,4559,72.14213526248932
5,0.066,2577,4558,33.65685415267944
6,0.004,814,4555,8.0
7,0.0585,754,4558,31.071067690849304
8,0.0835,768,4558,54.38477599620819
9,0.014,760,4552,13.656854152679443
10,0.0235,2390,4550,19.41421353816986
11,0.004,754,4549,8.0
12,0.178,115,4555,55.31370830535889
13,0.262,4990,4552,66.97056245803833
14,0.4135,4495,4555,107.6984840631485
15,0.258,88,4547,68.62741661071777
16,1.108,4424,4549,153.5979791879654
17,0.009,2821,4531,12.0
18,0.035,4629,4530,24.82842707633972
19,1.136,4754,4546,143.59797871112823
20,0.042,4139,4525,25.656854152679443
21,7.015,3735,4548,667.5634891986847
22,0.102,4050,4525,54.97056245803833
23,1.882,2845,4531,208.0243854522705
24,0.016,2180,4504,16.0
25,0.004,2179,4498,8.0
26,0.006,2557,4497,10.0
27,8.2905,2678,4526,396.7523069381714
28,0.274,5562,4478,73.79898941516876
29,0.2065,3664,4478,61.21320307254791
30,0.295,5390,4477,71.79898941516876
31,0.941,1180,4478,136.22539520263672
32,7.769,4842,4520,644.6761865615845
33,0.0265,2655,4460,20.242640614509583
34,0.2335,1505,4462,75.69848430156708
35,0.0685,3765,4453,33.071067690849304
36,0.2475,3688,4448,73.69848418235779
37,0.3325,3718,4447,72.04163002967834
38,0.0825,5302,4437,37.55634891986847
39,0.723,3806,4451,116.76955187320709
40,0.014,2605,4435,13.656854152679443
41,0.7705,131,4447,113.01219248771667
42,0.0355,5319,4429,25.071067690849304
43,0.2865,3841,4428,74.52691125869751
44,0.0565,1593,4423,30.242640614509583
45,0.078,4285,4424,42.14213538169861
46,0.006,733,4411,10.0
47,0.009,715,4411,12.0
48,7.2195,2232,4459,383.46298360824585
49,0.363,3686,4410,88.28427064418793
50,1.87,2999,4426,222.16652035713196
51,0.4205,3718,4407,80.52691125869751
52,0.01,5413,4397,14.0
53,0.004,2365,4396,8.0
54,0.006,4759,4389,10.0
55,0.135,1590,4393,49.31370830535889
56,0.3165,1454,4390,70.87005710601807
57,5.337,1229,4415,306.65180122852325
58,57.843,3242,4478,1473.9209141731262
59,0.004,2293,4375,8.0
60,0.114,1509,4381,54.97056245803833
61,0.004,781,4375,8.0
62,0.0145,5425,4369,14.242640614509583
63,0.0335,3258,4370,22.242640614509583
64,0.015,1615,4364,16.0
65,0.012,2774,4358,22.82842707633972
66,0.006,2782,4354,10.0
67,2.331,2159,4381,203.6812391281128
68,0.014,2773,4351,13.656854152679443
69,0.012,2757,4333,14.0
70,0.4725,381,4338,85.8406194448471
71,0.009,2743,4326,12.0
72,0.006,2757,4324,10.0
73,0.006,2749,4315,10.0
74,17.8315,1392,4427,798.1980466842651
75,0.59,490,4309,99.25483286380768
76,20.689,2679,4382,839.955404996872
