,ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter,Area[%]
0,1,0.0225,783,4560,24.242640614509583,0.00014847831503904515
1,2,0.0265,806,4559,22.242640614509583,0.0001748744599348754
2,3,0.048,4102,4559,27.656854152679443,0.00031675373874996297
3,4,0.139,2792,4559,72.14213526248932,0.0009172660351301013
4,5,0.066,2577,4558,33.65685415267944,0.00043553639078119916
5,6,0.004,814,4555,8.0,2.6396144895830248e-05
6,7,0.0585,754,4558,31.071067690849304,0.00038604361910151737
7,8,0.0835,768,4558,54.38477599620819,0.0005510195247004565
8,9,0.014,760,4552,13.656854152679443,9.238650713540587e-05
9,10,0.0235,2390,4550,19.41421353816986,0.00015507735126300273
10,11,0.004,754,4549,8.0,2.6396144895830248e-05
11,12,0.178,115,4555,55.31370830535889,0.001174628447864446
12,13,0.262,4990,4552,66.97056245803833,0.0017289474906768815
13,14,0.4135,4495,4555,107.6984840631485,0.002728701478606452
14,15,0.258,88,4547,68.62741661071777,0.001702551345781051
15,16,1.108,4424,4549,153.5979791879654,0.0073117321361449794
16,17,0.009,2821,4531,12.0,5.9391326015618054e-05
17,18,0.035,4629,4530,24.82842707633972,0.00023096626783851472
18,19,1.136,4754,4546,143.59797871112823,0.00749650515041579
19,20,0.042,4139,4525,25.656854152679443,0.0002771595214062176
20,21,7.015,3735,4548,667.5634891986847,0.0462922391110623
21,22,0.102,4050,4525,54.97056245803833,0.0006731016948436713
22,23,1.882,2845,4531,208.0243854522705,0.012419386173488133
23,24,0.016,2180,4504,16.0,0.00010558457958332099
24,25,0.004,2179,4498,8.0,2.6396144895830248e-05
25,26,0.006,2557,4497,10.0,3.959421734374537e-05
26,27,8.2905,2678,4526,396.7523069381714,0.054709309814720164
27,28,0.274,5562,4478,73.79898941516876,0.0018081359253643721
28,29,0.2065,3664,4478,61.21320307254791,0.0013627009802472366
29,30,0.295,5390,4477,71.79898941516876,0.0019467156860674807
30,31,0.941,1180,4478,136.22539520263672,0.006209693086744066
31,32,7.769,4842,4520,644.6761865615845,0.0512679124239263
32,33,0.0265,2655,4460,20.242640614509583,0.0001748744599348754
33,34,0.2335,1505,4462,75.69848430156708,0.001540874958294091
34,35,0.0685,3765,4453,33.071067690849304,0.00045203398134109304
35,36,0.2475,3688,4448,73.69848418235779,0.0016332614654294966
36,37,0.3325,3718,4447,72.04163002967834,0.0021941795444658896
37,38,0.0825,5302,4437,37.55634891986847,0.0005444204884764989
38,39,0.723,3806,4451,116.76955187320708,0.004771103189921317
39,40,0.014,2605,4435,13.656854152679443,9.238650713540587e-05
40,41,0.7705,131,4447,113.01219248771667,0.005084557410559301
41,42,0.0355,5319,4429,25.071067690849304,0.00023426578595049343
42,43,0.2865,3841,4428,74.52691125869751,0.0018906238781638415
43,44,0.0565,1593,4423,30.242640614509583,0.0003728455466536023
44,45,0.078,4285,4424,42.14213538169861,0.0005147248254686899
45,46,0.006,733,4411,10.0,3.959421734374537e-05
46,47,0.009,715,4411,12.0,5.9391326015618054e-05
47,48,7.2195,2232,4459,383.46298360824585,0.04764174201886162
48,49,0.363,3686,4410,88.28427064418793,0.002395450149296595
49,50,1.87,2999,4426,222.166520357132,0.012340197738800641
50,51,0.4205,3718,4407,80.52691125869751,0.0027748947321741546
51,52,0.01,5413,4397,14.0,6.599036223957563e-05
52,53,0.004,2365,4396,8.0,2.6396144895830248e-05
53,54,0.006,4759,4389,10.0,3.959421734374537e-05
54,55,0.135,1590,4393,49.31370830535889,0.0008908698902342709
55,56,0.3165,1454,4390,70.87005710601807,0.0020885949648825684
56,57,5.337,1229,4415,306.65180122852325,0.03521905632726151
57,58,57.843,3242,4478,1473.9209141731262,0.38170805230237725
58,59,0.004,2293,4375,8.0,2.6396144895830248e-05
59,60,0.114,1509,4381,54.97056245803833,0.0007522901295311621
60,61,0.004,781,4375,8.0,2.6396144895830248e-05
61,62,0.0145,5425,4369,14.242640614509584,9.568602524738466e-05
62,63,0.0335,3258,4370,22.242640614509583,0.00022106771350257834
63,64,0.015,1615,4364,16.0,9.898554335936342e-05
64,65,0.012,2774,4358,22.82842707633972,7.918843468749074e-05
65,66,0.006,2782,4354,10.0,3.959421734374537e-05
66,67,2.331,2159,4381,203.6812391281128,0.015382353438045079
67,68,0.014,2773,4351,13.656854152679443,9.238650713540587e-05
68,69,0.012,2757,4333,14.0,7.918843468749074e-05
69,70,0.4725,381,4338,85.8406194448471,0.003118044615819948
70,71,0.009,2743,4326,12.0,5.9391326015618054e-05
71,72,0.006,2757,4324,10.0,3.959421734374537e-05
72,73,0.006,2749,4315,10.0,3.959421734374537e-05
73,74,17.8315,1392,4427,798.1980466842651,0.11767071442749927
74,75,0.59,490,4309,99.25483286380768,0.0038934313721349614
75,76,20.689,2679,4382,839.955404996872,0.136527460437458
76,77,0.015,3991,4295,16.0,9.898554335936342e-05
77,78,0.004,3169,4294,8.0,2.6396144895830248e-05
78,79,0.0205,3999,4291,18.242640614509583,0.00013528024259113004
79,80,0.0175,2628,4290,16.242640614509583,0.00011548313391925736
80,81,3.7615,5517,4328,347.17871260643005,0.024822274756416372
81,82,0.179,376,4289,55.79898953437805,0.0011812274840884037
82,83,0.037,714,4283,25.656854152679443,0.0002441643402864298
83,84,0.004,1207,4276,8.0,2.6396144895830248e-05
84,85,0.15,2903,4271,62.97056245803833,0.0009898554335936343
85,86,0.014,2889,4268,20.82842707633972,9.238650713540587e-05
86,87,5.473,304,4332,487.3036031723023,0.036116525253719736
87,88,0.1695,178,4268,51.21320295333862,0.0011185366399608068
88,89,0.008,1712,4255,12.0,5.2792289791660495e-05
